,Club Name,Competition Name,Squad Size,Average Age Of Players,Market Value Of Club In Millions(£),Average Market Value Of Players In Millions(£),Market Value Of Top 18 Players In Millions(£)
0,Manchester City,Premier League,24,27.1,970.02,40.42,920.7
1,Paris Saint-Germain,Ligue 1,36,26.1,891.18,24.76,801.0
2,Manchester United,Premier League,29,27.9,820.13,28.28,742.5
3,Chelsea FC,Premier League,27,26.9,802.35,29.72,737.1
4,Liverpool FC,Premier League,27,27.2,779.85,28.88,715.95
5,Bayern Munich,Bundesliga,26,26.1,756.45,29.09,726.21
6,Real Madrid,LaLiga,27,27.3,680.4,25.2,610.2
7,Atlético de Madrid,LaLiga,22,28.2,671.31,30.51,651.6
8,Tottenham Hotspur,Premier League,24,25.6,627.3,26.14,558.0
9,FC Barcelona,LaLiga,30,25.9,592.2,19.74,535.5
10,Borussia Dortmund,Bundesliga,34,24.8,543.51,15.99,503.1
11,Juventus FC,Serie A,25,27.5,542.61,21.7,506.7
12,Arsenal FC,Premier League,26,25.4,507.15,19.51,453.6
13,Leicester City,Premier League,28,27.1,493.29,17.62,447.3
14,Inter Milan,Serie A,28,29.0,473.31,16.9,455.85
15,SSC Napoli,Serie A,26,27.7,467.01,17.96,444.6
16,RB Leipzig,Bundesliga,29,24.1,447.8,15.44,408.15
17,AC Milan,Serie A,29,26.8,429.03,14.79,389.7
18,AS Roma,Serie A,30,25.2,386.33,12.88,349.02
19,Everton FC,Premier League,26,28.0,385.88,14.84,360.9
20,Sevilla FC,LaLiga,26,28.3,374.31,14.4,341.1
21,Atalanta BC,Serie A,26,27.3,373.82,14.38,342.9
22,Aston Villa,Premier League,25,25.6,371.79,14.87,354.42
23,Bayer 04 Leverkusen,Bundesliga,28,24.6,348.71,12.45,320.4
24,Wolverhampton Wanderers,Premier League,24,26.4,345.69,14.4,332.37
25,Real Sociedad,LaLiga,26,26.2,345.6,13.29,324.45
26,AS Monaco,Ligue 1,29,24.4,331.47,11.43,291.6
27,West Ham United,Premier League,24,28.9,318.83,13.28,308.25
28,Ajax Amsterdam,Eredivisie,25,25.7,304.65,12.19,282.6
29,Olympique Lyon,Ligue 1,29,25.6,301.82,10.41,286.29
30,Villarreal CF,LaLiga,26,28.1,300.96,11.58,282.6
31,SS Lazio,Serie A,33,27.6,280.17,8.49,257.67
32,VfL Wolfsburg,Bundesliga,32,25.3,257.42,8.04,232.56
33,SL Benfica,Liga Bwin,29,27.0,252.9,8.72,215.1
34,Borussia Mönchengladbach,Bundesliga,28,25.6,244.35,8.73,231.66
35,LOSC Lille,Ligue 1,26,25.6,242.28,9.32,231.75
36,FC Porto,Liga Bwin,27,26.6,239.27,8.86,217.8
37,Leeds United,Premier League,24,25.0,232.83,9.7,228.15
38,Valencia CF,LaLiga,27,25.7,232.02,8.59,216.0
39,Brighton & Hove Albion,Premier League,27,25.7,231.57,8.58,213.12
40,Southampton FC,Premier League,26,26.1,229.68,8.83,214.2
41,ACF Fiorentina,Serie A,26,27.0,228.42,8.79,214.02
42,Olympique Marseille,Ligue 1,27,24.0,225.27,8.34,210.6
43,Crystal Palace,Premier League,26,27.6,224.51,8.63,209.7
44,Newcastle United,Premier League,25,28.4,220.86,8.83,204.3
45,OGC Nice,Ligue 1,27,24.1,202.73,7.51,188.82
46,Real Betis Balompié,LaLiga,28,28.7,198.63,7.09,181.8
47,US Sassuolo,Serie A,27,27.4,195.21,7.23,178.83
48,Stade Rennais FC,Ligue 1,28,23.7,182.75,6.53,175.95
49,Athletic Bilbao,LaLiga,26,26.5,182.07,7.0,171.0
50,TSG 1899 Hoffenheim,Bundesliga,33,25.7,182.05,5.52,157.32
51,Eintracht Frankfurt,Bundesliga,32,25.6,180.41,5.64,162.68
52,Brentford FC,Premier League,31,24.6,179.96,5.81,168.75
53,Sporting CP,Liga Bwin,24,25.7,178.38,7.43,170.1
54,Norwich City,Premier League,28,25.5,167.81,5.99,154.35
55,Torino FC,Serie A,30,26.1,167.33,5.58,150.3
56,Shakhtar Donetsk,Premier Liga,29,25.8,165.6,5.71,149.85
57,VfB Stuttgart,Bundesliga,33,23.5,156.78,4.75,140.4
58,Zenit St. Petersburg,Premier Liga,22,27.2,156.33,7.11,154.17
59,Club Brugge KV,Jupiler Pro League,30,24.3,150.08,5.0,136.71
60,Getafe CF,LaLiga,25,27.3,141.3,5.65,135.45
61,Red Bull Salzburg,Bundesliga,29,23.0,138.96,4.79,123.84
62,PSV Eindhoven,Eredivisie,27,25.2,138.69,5.14,128.7
63,Clube de Regatas do Flamengo,Série A,32,27.4,133.74,4.18,117.0
64,Fulham FC,Championship,30,26.8,133.34,4.44,118.8
65,Cagliari Calcio,Serie A,28,27.4,132.46,4.73,122.22
66,Bologna FC 1909,Serie A,30,25.9,130.95,4.37,121.32
67,Watford FC,Premier League,27,28.2,130.95,4.85,115.2
68,Burnley FC,Premier League,24,30.1,130.77,5.45,124.65
69,Sociedade Esportiva Palmeiras,Série A,31,27.2,128.88,4.16,113.36
70,Celta de Vigo,LaLiga,22,27.8,127.17,5.78,123.3
71,KRC Genk,Jupiler Pro League,25,23.3,120.87,4.83,112.23
72,Dynamo Kyiv,Premier Liga,30,25.6,119.7,3.99,106.65
73,SC Freiburg,Bundesliga,26,25.5,118.94,4.57,112.05
74,Fenerbahce SK,Süper Lig,32,25.5,114.17,3.57,102.78
75,Besiktas JK,Süper Lig,32,27.8,114.08,3.56,103.23
76,Spartak Moscow,Premier Liga,24,25.8,112.86,4.7,108.9
77,Sheffield United,Championship,28,27.9,112.05,4.0,102.51
78,Hertha BSC,Bundesliga,29,26.2,110.43,3.81,99.63
79,UC Sampdoria,Serie A,27,27.3,108.72,4.03,96.66
80,SC Braga,Liga Bwin,28,25.6,107.24,3.83,97.2
81,AFC Bournemouth,Championship,26,25.7,104.0,4.0,99.81
82,Olympiacos Piraeus,Super League 1,32,26.5,102.24,3.2,87.93
83,FK Krasnodar,Premier Liga,24,27.8,101.93,4.25,98.19
84,Feyenoord Rotterdam,Eredivisie,28,23.6,100.58,3.59,96.21
85,Club Atlético River Plate,Liga Profesional,29,27.9,100.04,3.45,93.17
86,GNK Dinamo Zagreb,1.HNL,30,26.1,98.82,3.29,89.46
87,Galatasaray A.S.,Süper Lig,31,26.8,98.73,3.18,86.13
88,Hellas Verona,Serie A,26,26.9,98.42,3.79,88.74
89,1.FSV Mainz 05,Bundesliga,25,25.7,95.58,3.82,89.82
90,Rangers FC,Premiership,29,27.7,94.5,3.26,88.83
91,Udinese Calcio,Serie A,26,27.9,92.7,3.57,86.31
92,RCD Espanyol Barcelona,LaLiga,25,27.7,92.25,3.69,83.97
93,AS Saint-Étienne,Ligue 1,27,24.3,90.09,3.34,81.18
94,FC Girondins Bordeaux,Ligue 1,30,25.3,89.55,2.99,78.75
95,Levante UD,LaLiga,27,28.1,89.19,3.3,82.35
96,FC Metz,Ligue 1,29,25.3,89.19,3.08,79.74
97,Clube Atlético Mineiro,Série A,29,27.5,88.61,3.06,76.46
98,Lokomotiv Moscow,Premier Liga,29,25.0,87.32,3.01,77.85
99,Genoa CFC,Serie A,34,27.6,86.94,2.56,72.27
